Language_ID,Value
lakk1238,ɔ
lakk1238,ɔ̃
lakk1238,p
lakk1238,pʰ
lakk1238,t
lakk1238,tʰ
lakk1238,ts
lakk1238,tsʰ
lakk1238,u
lakk1238,ŭ
lakk1238,ŭ̃
lakk1238,ũ
lakk1238,uo
lakk1238,ɥ
lakk1238,w
lakk1238,ʍ
lakk1238,ʔ
lakk1238,ˀb
lakk1238,θ
thai1261,˥
thai1261,˥̰
thai1261,˧
thai1261,˧˩
thai1261,˨˧
thai1261,˩
thai1261,a
thai1261,aː
thai1261,æ
thai1261,æː
thai1261,b
thai1261,cç
thai1261,cçʰ
thai1261,d
thai1261,eː
thai1261,ɛ
thai1261,ɘ
thai1261,ɘː
thai1261,f
thai1261,h
thai1261,iː
thai1261,ɪ
thai1261,ɨ
thai1261,ɨː
thai1261,j
thai1261,k
thai1261,kʰ
thai1261,l
thai1261,m
thai1261,n
thai1261,ŋ
thai1261,o
thai1261,oː
thai1261,ɔ
thai1261,ɔː
thai1261,p
thai1261,pʰ
thai1261,ɾ
thai1261,s
thai1261,t
thai1261,tʰ
thai1261,uː
thai1261,ʊ
thai1261,w
thai1261,ʔ
bouy1240,˥
bouy1240,˥˩
bouy1240,˦
bouy1240,˧
bouy1240,˩
bouy1240,˩˥
bouy1240,a
bouy1240,aː
bouy1240,b
bouy1240,c
bouy1240,cʰ
bouy1240,d
bouy1240,ə
bouy1240,ɛ
bouy1240,f
bouy1240,ɡ
bouy1240,h
bouy1240,i
bouy1240,j
bouy1240,k
bouy1240,kʰ
bouy1240,l
bouy1240,m
bouy1240,n
bouy1240,ɲ
bouy1240,ŋ
bouy1240,ɔ
bouy1240,p
bouy1240,pʰ
bouy1240,r
bouy1240,s
bouy1240,t
bouy1240,tʰ
bouy1240,u
bouy1240,ɯ
bouy1240,v
bouy1240,ʔ
bouy1240,θ
west2650,˧
west2650,˩
west2650,a
west2650,b
west2650,c
west2650,cʰ
west2650,d
west2650,e
west2650,ə
west2650,ɛ
west2650,h
west2650,i
west2650,ɨ
west2650,j
west2650,k
west2650,kʰ
west2650,l
west2650,m
west2650,n
west2650,ɲ
west2650,ŋ
west2650,o
west2650,ɔ
west2650,p
west2650,pʰ
west2650,ɾ
west2650,ʂ
west2650,ʃ
west2650,t
west2650,tʰ
west2650,ʈ
west2650,ʈʰ
west2650,u
west2650,w
west2650,ʔ
atay1247,a
atay1247,ə̆
atay1247,ɛ
atay1247,ɣ
atay1247,ħ
atay1247,i
atay1247,iː
atay1247,j
atay1247,k
atay1247,l
atay1247,m
atay1247,n
atay1247,ŋ
atay1247,ɔ
atay1247,p
atay1247,q
atay1247,ɾ
atay1247,s
atay1247,t
atay1247,ts
atay1247,u
atay1247,uː
atay1247,w
atay1247,x
atay1247,ʒ
atay1247,ʔ
atay1247,β
plat1254,a
plat1254,b
plat1254,d
plat1254,dz
plat1254,ɖr̠
plat1254,e̞
plat1254,f
plat1254,ɡ
plat1254,h
plat1254,i
plat1254,j
plat1254,k
plat1254,l
plat1254,m
plat1254,mb
plat1254,mp
plat1254,n
plat1254,nd
plat1254,ndz
plat1254,nt
plat1254,nts
plat1254,ɳɖr̠
plat1254,ɳʈr̠̥
plat1254,ŋɡ
plat1254,ŋk
plat1254,ɔ
plat1254,p
plat1254,ɾ
plat1254,s
plat1254,t
plat1254,ts
plat1254,ʈr̠̥
plat1254,ʊ
plat1254,v
plat1254,w
plat1254,z
stan1306,a
stan1306,b
stan1306,c
stan1306,d
stan1306,e
stan1306,ə
stan1306,f
stan1306,ɡ
stan1306,h
stan1306,i
stan1306,ɟ
stan1306,k
stan1306,l
stan1306,m
stan1306,n
stan1306,ɲ
stan1306,ŋ
stan1306,ɔ
stan1306,p
stan1306,r
stan1306,s
stan1306,ʃ
stan1306,t
stan1306,u
stan1306,v
stan1306,x
stan1306,z
bata1289,a
bata1289,b
bata1289,d
bata1289,d̠ʒ
bata1289,ɛ
bata1289,ɡ
bata1289,h
bata1289,i
bata1289,j
bata1289,k
bata1289,l
bata1289,m
bata1289,n
bata1289,ŋ
bata1289,o
bata1289,p
bata1289,ʀ
bata1289,s
bata1289,t
bata1289,u
bata1289,w
saba1265,a
saba1265,aː
saba1265,b
saba1265,b͈
saba1265,d
saba1265,d͈
saba1265,d̠ʒ
saba1265,d̠͈ʒ
saba1265,ə
saba1265,ɛ
saba1265,ɡ
saba1265,h
saba1265,i
saba1265,ɨ
saba1265,j
saba1265,k
saba1265,k͈
saba1265,l
saba1265,l̩
saba1265,l̥
saba1265,m
saba1265,m̩
saba1265,m̥
saba1265,n
saba1265,n̩
saba1265,n̥
saba1265,ɲ
saba1265,ɲ̩
saba1265,ɲ̥
saba1265,ŋ
saba1265,ŋ̩
saba1265,ŋ̥
saba1265,ɔ
saba1265,p
saba1265,p͈
saba1265,r̩
saba1265,ɾ
saba1265,s
saba1265,sː
saba1265,ʂ͇
saba1265,t
saba1265,t͈
saba1265,t̠ʃ
saba1265,u
saba1265,w
saba1265,ʔ
sund1252,a
sund1252,b
sund1252,d
sund1252,d̠ʒ
sund1252,ə
sund1252,ɛ
sund1252,ɡ
sund1252,h
sund1252,i
sund1252,ɨ
sund1252,j
sund1252,k
sund1252,l
sund1252,m
sund1252,n
sund1252,ɲ
sund1252,ŋ
sund1252,o
sund1252,p
sund1252,ɾ
sund1252,s
sund1252,t̪
sund1252,t̠ʃ
sund1252,u
sund1252,w
sund1252,ʔ
java1254,a
java1254,b̤̥
java1254,d̪̤̥
java1254,d̤̥
java1254,e
java1254,ə
java1254,ɛ
java1254,ɡ̤̥
java1254,h
java1254,i
java1254,j
java1254,k
java1254,l
java1254,l̤
java1254,m
java1254,n
java1254,ɲ
java1254,ŋ
java1254,o
java1254,ɔ
java1254,p
java1254,r
java1254,s
java1254,t
java1254,t̪
java1254,ts
java1254,tz̤̥
java1254,u
java1254,w
java1254,ʔ
taga1270,aː
taga1270,b
taga1270,d
taga1270,e
taga1270,eː
taga1270,ə
taga1270,f
taga1270,ɡ
taga1270,h
taga1270,iː
taga1270,ɪ
